16,16,1.63112e-05
32,32,6.01723e-05
48,48,0.00013338
64,64,0.000249483
80,80,0.000358694
96,96,0.000557597
112,112,0.000751035
128,128,0.000992005
144,144,0.00126405
160,160,0.00158474
176,176,0.00241316
192,192,0.00247559
208,208,0.00280955
224,224,0.00341175
240,240,0.00327042
256,256,0.00433293
272,272,0.00303604
288,288,0.00565441
304,304,0.00623182
320,320,0.00652632
336,336,0.00797613
352,352,0.0077604
368,368,0.00949354
384,384,0.0101628
400,400,0.00990771
416,416,0.0115215
432,432,0.0128518
448,448,0.0127661
464,464,0.0083626
480,480,0.00820695
496,496,0.00907417
512,512,0.0103815
528,528,0.0170023
544,544,0.0130555
560,560,0.0145347
576,576,0.0190679
592,592,0.0212588
608,608,0.0230248
624,624,0.024178
640,640,0.012827
656,656,0.0181823
672,672,0.034258
688,688,0.0338671
704,704,0.0245626
720,720,0.0248843
736,736,0.0175811
752,752,0.0197515
768,768,0.0320231
784,784,0.0511273
800,800,0.034537
816,816,0.0222262
832,832,0.0461854
848,848,0.0329807
864,864,0.06305
880,880,0.0643887
896,896,0.0681147
912,912,0.0698998
928,928,0.0495206
944,944,0.0478272
960,960,0.0557158
976,976,0.070291
992,992,0.0728079
1008,1008,0.055974

